,im_sociedad,im_econom,im_ma,im_trans,titulo_Obra,pais,año,Tipo_Obra,acr,usos,dimension,img_url,categoria,city,lat,lon
0,"[""Equidad espacial""]","[""Accesibilidad a la vivienda""]","[""Eficiencia energética"",""Espacios saludables""]","[""Ciencias de ciudad""]",VU4B,Paraguay,08-12-2020,Obra nueva,TDA454,"[""Residencial""]",220.0,http://www.bienalesdearquitectura.es/images/XII_BIAU/Panorama_obras/20220223124656_01-dji-0106.jpg,obras,caracas,10.500000,-66.916664
1,"[""Usos mixtos""]","[""Tenencias alternativas"",""Accesibilidad a la vivienda"",""Regeneración urbana""]","[""Rehabilitación""]","""""",Habitando una galería de arte,Portugal,30-09-2021,"Ampliación, reforma o rehabilitación",XYZ097,"[""Residencial"",""Servicios""]",200.0,http://www.bienalesdearquitectura.es/images/XII_BIAU/Panorama_obras/20220223170204_fala-097-web-013.jpg,obras,medellin,6.230833,-75.590553
2,"[""Usos mixtos""]","[""Regeneración urbana""]","[""Rehabilitación""]","[""Proyectos urbanos integrales""]",Loft A. Transformación de taller en vivienda en el barrio de la Milagrosa de Pamplona,Espana,No procede,"Ampliación, reforma o rehabilitación",LAP010,"[""Residencial""]",226.16,http://www.bienalesdearquitectura.es/images/XII_BIAU/Panorama_obras/20220301163212_05-loft-a-bergeraphoto.jpg,trayectoria,antioquia,7.883609,-76.632111
3,"""""","[""Regeneración urbana""]","[""Reducción emisiones C02"",""Eficiencia energética"",""Espacios saludables""]","[""Proyectos urbanos integrales""]",CASA CON ARBOL,Espana,No procede,Obra nueva,CAM022,"[""Residencial""]",381.0,http://www.bienalesdearquitectura.es/images/XII_BIAU/Panorama_obras/20220302105146_1-entrada.jpg,publicacion,santiago de chile,-34.672501,-58.449722
4,"[""Protección patrimonial""]","""""","[""Rehabilitación"",""Reutilización y reciclaje"",""Espacios saludables""]","[""Autosuficiencias domésticas""]",CASA Z. Rehabilitación de vivienda en el Valle de Jerte,Espana,No procede,"Ampliación, reforma o rehabilitación",CAZ079,"[""Residencial""]",35408.0,http://www.bienalesdearquitectura.es/images/XII_BIAU/Panorama_obras/20220303125420_imagen-principal-baja-calidad.jpg,prog_doc,iquique,-20.216700,-70.142220
5,"[""Procesos participativos"",""Equidad espacial""]","[""Cooperación publico-privada""]","[""Reutilización y reciclaje""]","[""Autosuficiencias comunitarias""]",Aula Caracola,Mexico,27-11-2019,Proyecto efímero,CAR019,"[""Espacios libres""]",65.0,http://www.bienalesdearquitectura.es/images/XII_BIAU/Panorama_obras/20220303193859_fel0041-foto00.jpg,acc,la paz,-16.489689,-68.119293
